Reports,No Finding,Enlarged Cardiomediastinum,Cardiomegaly,Lung Lesion,Lung Opacity,Edema,Consolidation,Pneumonia,Atelectasis,Pneumothorax,Pleural Effusion,Pleural Other,Fracture,Support Devices
dual-lead pacemaker is in unchanged position,1.0,,,,,,,,,,,,,1.0
a metallic stent projects over the heart in the expected location of the aortic valve,1.0,,,,,,,,,,,,,1.0
hardware is noted in the lower thoracic spine with evidence of vertebroplasty in a lower thoracic vertebral body,1.0,,,,,,,,,,,,,1.0
cardiomegaly is unchanged,,,1.0,,,,,,,,,,,
there is no definite sign of pulmonary edema,1.0,,,,,0.0,,,,,,,,
no pleural effusion or signs of pneumonia,1.0,,,,,,,0.0,,,0.0,,,
mediastinal contour is stable,,-1.0,,,,,,,,,,,,
bony structures appear unchanged,1.0,,,,,,,,,,,,,
a wedge deformity is seen just above the level of vertebroplasty in the lower t-spine which is unchanged  .,,,,,,,,,,,,,,
pa and lateral views of the chest,1.0,,,,,,,,,,,,,
the lungs are clear without focal consolidation,1.0,,,,,,0.0,,,,,,,
no pneumothorax or pleural effusion is seen,1.0,,,,,,,,,0.0,0.0,,,
there is mild atelectasis seen at the right lung base,,,,,,,,,1.0,,,,,
a left-sided pacer is present with wires terminating in the right atrium and right ventricle,1.0,,,,,,,,,,,,,1.0
again noted is a metallic stent projecting over the expected location of the aortic valve,1.0,,,,,,,,,,,,,1.0
hardware is in the lower thoracic spine with evidence of vertebroplasty,1.0,,,,,,,,,,,,,1.0
the heart size is enlarged but unchanged,,,1.0,,,,,,,,,,,
an unchanged wedge deformity is seen superior to the vertebroplasty  .,,,,,,,,,,,,,,
pa and lateral views of the chest,1.0,,,,,,,,,,,,,
the lungs are clear without focal consolidation,1.0,,,,,,0.0,,,,,,,
no pneumothorax or pleural effusion is seen,1.0,,,,,,,,,0.0,0.0,,,
there is mild atelectasis seen at the right lung base,,,,,,,,,1.0,,,,,
a left-sided pacer is present with wires terminating in the right atrium and right ventricle,1.0,,,,,,,,,,,,,1.0
again noted is a metallic stent projecting over the expected location of the aortic valve,1.0,,,,,,,,,,,,,1.0
hardware is in the lower thoracic spine with evidence of vertebroplasty,1.0,,,,,,,,,,,,,1.0
the heart size is enlarged but unchanged,,,1.0,,,,,,,,,,,
an unchanged wedge deformity is seen superior to the vertebroplasty  .,,,,,,,,,,,,,,
pa and lateral views of the chest,1.0,,,,,,,,,,,,,
the lungs are clear without focal consolidation,1.0,,,,,,0.0,,,,,,,
no pneumothorax or pleural effusion is seen,1.0,,,,,,,,,0.0,0.0,,,
there is mild atelectasis seen at the right lung base,,,,,,,,,1.0,,,,,
a left-sided pacer is present with wires terminating in the right atrium and right ventricle,1.0,,,,,,,,,,,,,1.0
again noted is a metallic stent projecting over the expected location of the aortic valve,1.0,,,,,,,,,,,,,1.0
hardware is in the lower thoracic spine with evidence of vertebroplasty,1.0,,,,,,,,,,,,,1.0
the heart size is enlarged but unchanged,,,1.0,,,,,,,,,,,
an unchanged wedge deformity is seen superior to the vertebroplasty  .,,,,,,,,,,,,,,
in comparison with the study of the monitoring and support devices are unchanged,1.0,,,,,,,,,,,,,1.0
there is again substantial enlargement of the cardiac silhouette with pulmonary vascular congestion and bilateral pleural effusions more prominent on the right  .,,,1.0,,,-1.0,,,,,1.0,,,
in comparison with study of the monitoring and support devices remain unchanged,1.0,,,,,,,,,,,,,1.0
there appears to be some increasing haziness of the right hemithorax which would be consistent with some increasing pleural effusion,,,,,,,,,,,1.0,,,
however this is difficult to assess since it could reflect changes in patient position,1.0,,,,,,,,,,,,,
the pulmonary vessels appear more engorged than on the previous study and there continues to be substantial enlargement of the cardiac silhouette  .,,,1.0,,,,,,,,,,,
the feeding tube extends below the level of the diaphragms but beyond the field of view of this radiograph likely within the distal stomach,1.0,,,,,,,,,,,,,1.0
a left chest wall dual lead pacemaker is present,1.0,,,,,,,,,,,,,1.0
the tip of the right picc line extends to the level of the mid svc,1.0,,,,,,,,,,,,,1.0
no focal consolidation pleural effusion or pneumothorax identified,1.0,,,,,,0.0,,,0.0,0.0,,,
the size and appearance of the cardiomediastinal silhouette is unchanged  .,,1.0,,,,,,,,,,,,
pa and lateral views of the chest were provided demonstrating midline sternotomy wires and a dual-lead pacer which appear unchanged with lead extending into the region of the right atrium and right ventricle,1.0,,,,,,,,,,,,,1.0
lungs are clear without signs of pneumonia or edema,,,,,,-1.0,,-1.0,,,,,,
no effusion or pneumothorax,1.0,,,,,,,,,0.0,0.0,,,
cardiomediastinal silhouette appears normal,1.0,0.0,,,,,,,,,,,,
the imaged bony structures are intact  .,1.0,,,,,,,,,,,,,
pa and lateral views of the chest were provided demonstrating midline sternotomy wires and a dual-lead pacer which appear unchanged with lead extending into the region of the right atrium and right ventricle,1.0,,,,,,,,,,,,,1.0
lungs are clear without signs of pneumonia or edema,,,,,,-1.0,,-1.0,,,,,,
no effusion or pneumothorax,1.0,,,,,,,,,0.0,0.0,,,
cardiomediastinal silhouette appears normal,1.0,0.0,,,,,,,,,,,,
the imaged bony structures are intact  .,1.0,,,,,,,,,,,,,
pa and lateral views of the chest were provided demonstrating midline sternotomy wires and a dual-lead pacer which appear unchanged with lead extending into the region of the right atrium and right ventricle,1.0,,,,,,,,,,,,,1.0
lungs are clear without signs of pneumonia or edema,,,,,,-1.0,,-1.0,,,,,,
no effusion or pneumothorax,1.0,,,,,,,,,0.0,0.0,,,
cardiomediastinal silhouette appears normal,1.0,0.0,,,,,,,,,,,,
the imaged bony structures are intact  .,1.0,,,,,,,,,,,,,
no significant change in comparison to,1.0,,,,,,,,,,,,,
no pulmonary edema,1.0,,,,,0.0,,,,,,,,
mild retrocardiac opacity unchanged likely atelectasis,,,,,1.0,,,,1.0,,,,,
stable severe cardiomegaly,,,1.0,,,,,,,,,,,
there is no pneumothorax or pleural effusion,1.0,,,,,,,,,0.0,0.0,,,
ett measures 54 cm above the carina,1.0,,,,,,,,,,,,,
right atrial and right ventricular pacer leads in standard positions and contiguous with the left pectoral generator,1.0,,,,,,,,,,,,,1.0
ng tube tip terminates in the stomach,1.0,,,,,,,,,,,,,1.0
right ij catheter tip in the mid svc  .,1.0,,,,,,,,,,,,,1.0
no focal consolidation pleural effusion or pneumothorax is seen,1.0,,,,,,0.0,,,0.0,0.0,,,
heart size is top normal,1.0,,0.0,,,,,,,,,,,
pacing leads appear to be similarly positioned compared to prior,1.0,,,,,,,,,,,,,
there is no evidence for pulmonary edema,1.0,,,,,0.0,,,,,,,,
multiple prior right rib fractures are seen the 8th rib fracture demonstrates persist linear lucency raising the possibility of incomplete healing,,,,,,,,,,,,,1.0,
sternal wires appear intact  .,1.0,,,,,,,,,,,,,
no focal consolidation pleural effusion or pneumothorax is seen,1.0,,,,,,0.0,,,0.0,0.0,,,
heart size is top normal,1.0,,0.0,,,,,,,,,,,
pacing leads appear to be similarly positioned compared to prior,1.0,,,,,,,,,,,,,
there is no evidence for pulmonary edema,1.0,,,,,0.0,,,,,,,,
multiple prior right rib fractures are seen the 8th rib fracture demonstrates persist linear lucency raising the possibility of incomplete healing,,,,,,,,,,,,,1.0,
sternal wires appear intact  .,1.0,,,,,,,,,,,,,
enteric tube tip in the proximal stomach,1.0,,,,,,,,,,,,,1.0
right ij line tip mid svc,1.0,,,,,,,,,,,,,1.0
endotracheal tube tip in good position,1.0,,,,,,,,,,,,,1.0
sternotomy,1.0,,,,,,,,,,,,,
there is cardiac pacemaker,1.0,,,,,,,,,,,,,1.0
minimal new left basilar atelectasis,,,,,,,,,1.0,,,,,
suggestion of tiny left pleural effusion  .,,,,,,,,,,,-1.0,,,
enteric tube tip in the proximal stomach,1.0,,,,,,,,,,,,,1.0
right ij line tip mid svc,1.0,,,,,,,,,,,,,1.0
endotracheal tube tip in good position,1.0,,,,,,,,,,,,,1.0
sternotomy,1.0,,,,,,,,,,,,,
there is cardiac pacemaker,1.0,,,,,,,,,,,,,1.0
minimal new left basilar atelectasis,,,,,,,,,1.0,,,,,
suggestion of tiny left pleural effusion  .,,,,,,,,,,,-1.0,,,
the lungs are low in volume but clear,1.0,,,,,,,,,,,,,
the cardiac silhouette is possibly mildly enlarged,,,1.0,,,,,,,,,,,
low lung volumes may be responsible for mild widening of the mediastinal silhouette,,1.0,,,,,,,,,,,,
the hilar contours and pleural surfaces are normal,1.0,0.0,,,,,,,,,,,,
no pleural effusion is present,1.0,,,,,,,,,,0.0,,,
a left-sided pacer terminates with its leads in the right atrium and right ventricle,1.0,,,,,,,,,,,,,1.0
unk placement of the right atrial lead is unchanged  .,1.0,,,,,,,,,,,,,
the lungs are low in volume but clear,1.0,,,,,,,,,,,,,
the cardiac silhouette is possibly mildly enlarged,,,1.0,,,,,,,,,,,
low lung volumes may be responsible for mild widening of the mediastinal silhouette,,1.0,,,,,,,,,,,,
the hilar contours and pleural surfaces are normal,1.0,0.0,,,,,,,,,,,,
no pleural effusion is present,1.0,,,,,,,,,,0.0,,,
a left-sided pacer terminates with its leads in the right atrium and right ventricle,1.0,,,,,,,,,,,,,1.0
unk placement of the right atrial lead is unchanged  .,1.0,,,,,,,,,,,,,
the lungs are low in volume but clear,1.0,,,,,,,,,,,,,
the cardiac silhouette is possibly mildly enlarged,,,1.0,,,,,,,,,,,
low lung volumes may be responsible for mild widening of the mediastinal silhouette,,1.0,,,,,,,,,,,,
the hilar contours and pleural surfaces are normal,1.0,0.0,,,,,,,,,,,,
no pleural effusion is present,1.0,,,,,,,,,,0.0,,,
a left-sided pacer terminates with its leads in the right atrium and right ventricle,1.0,,,,,,,,,,,,,1.0
unk placement of the right atrial lead is unchanged  .,1.0,,,,,,,,,,,,,
the lungs are clear without consolidation effusion or pneumothorax,,,,,,,1.0,,,0.0,0.0,,,
left chest wall dual lead pacing device is seen with lead tips in the right atrium and right ventricular apex,1.0,,,,,,,,,,,,,1.0
median sternotomy wires and mediastinal clips are again noted,1.0,,,,,,,,,,,,,
multiple bilateral rib fractures are noted most of which appear chronic,,,,,,,,,,,,,1.0,
there is non visualization of the cortical margin of the right posterior eighth rib fracture which raises possibility of acuity  .,,,,,,,,,,,,,1.0,
the lungs are clear without consolidation effusion or pneumothorax,,,,,,,1.0,,,0.0,0.0,,,
left chest wall dual lead pacing device is seen with lead tips in the right atrium and right ventricular apex,1.0,,,,,,,,,,,,,1.0
median sternotomy wires and mediastinal clips are again noted,1.0,,,,,,,,,,,,,
multiple bilateral rib fractures are noted most of which appear chronic,,,,,,,,,,,,,1.0,
there is non visualization of the cortical margin of the right posterior eighth rib fracture which raises possibility of acuity  .,,,,,,,,,,,,,1.0,
the lungs are clear without consolidation effusion or pneumothorax,,,,,,,1.0,,,0.0,0.0,,,
left chest wall dual lead pacing device is seen with lead tips in the right atrium and right ventricular apex,1.0,,,,,,,,,,,,,1.0
median sternotomy wires and mediastinal clips are again noted,1.0,,,,,,,,,,,,,
multiple bilateral rib fractures are noted most of which appear chronic,,,,,,,,,,,,,1.0,
there is non visualization of the cortical margin of the right posterior eighth rib fracture which raises possibility of acuity  .,,,,,,,,,,,,,1.0,
the lung volumes are stable,1.0,,,,,,,,,,,,,
a new right lower lung opacification,,,,,1.0,,,,,,,,,
the cardio mediastinal and hilar borders are stable,1.0,,,,,,,,,,,,,
the pleural surfaces are stable,1.0,,,,,,,,,,,,,
the left pacemaker is intact with leads in appropriate positions,1.0,,,,,,,,,,,,,1.0
again seen is destruction in the second sternotomy wire,1.0,,,,,,,,,,,,,
the og tube appears to be malpositioned proximally lying in the proximal fundus of the stomach,1.0,,,,,,,,,,,,,1.0
the right picc line terminates in the mid svc,1.0,,,,,,,,,,,,,1.0
the osseous structures are stable  .,1.0,,,,,,,,,,,,,
the lungs are moderately well inflated with no pulmonary edema or lobar consolidation,1.0,,,,,0.0,0.0,,,,,,,
newly placed ng tube terminates in the proximal stomach and could be advanced by approximately 5-10 cm,1.0,,,,,,,,,,,,,1.0
cardiomediastinal silhouette is unchanged compared to the prior radiograph,,-1.0,,,,,,,,,,,,
lines and tubes also remain unchanged compared to the prior radiograph,1.0,,,,,,,,,,,,,1.0
old healed fractures involving the right posterior lower ribs noted  .,,,,,,,,,,,,,1.0,
the lungs are clear,1.0,,,,,,,,,,,,,
no right pleural effusion,1.0,,,,,,,,,,0.0,,,
no large left pleural effusion,1.0,,,,,,,,,,0.0,,,
no pneumothorax,1.0,,,,,,,,,0.0,,,,
stable mild cardiomegaly,,,1.0,,,,,,,,,,,
mediastinal contour and hila are unremarkable,1.0,0.0,,,,,,,,,,,,
midline sternotomy wires again demonstrate disruption of the second sternotomy,1.0,,,,,,,,,,,,,
additional sternotomy wires are intact,1.0,,,,,,,,,,,,,
an enteric feeding tube is seen coursing midline with tip in stomach,1.0,,,,,,,,,,,,,1.0
a left chest wall pacer device lead tips are in the right atrium and right ventricle,1.0,,,,,,,,,,,,,1.0
right picc tip is in the mid svc  .,1.0,,,,,,,,,,,,,1.0
endotracheal tube tip is 54 cm above carina,1.0,,,,,,,,,,,,,1.0
enteric tube tip in the proximal stomach,1.0,,,,,,,,,,,,,1.0
right ij central line tip in the low svc,1.0,,,,,,,,,,,,,1.0
cardiac pacemaker in place,1.0,,,,,,,,,,,,,1.0
there are chronic rib fractures,,,,,,,,,,,,,1.0,
lungs are clear,1.0,,,,,,,,,,,,,
surgical in the abdomen  .,1.0,,,,,,,,,,,,,
frontal and lateral views of the chest were obtained,1.0,,,,,,,,,,,,,
bibasilar opacities are seen which may relate to atelectasis however in the appropriate clinical setting consolidation due to infection or pneumonia is not excluded,,,,,1.0,,-1.0,-1.0,-1.0,,,,,
there is also a new opacity projecting over the lateral left mid lung seen on the frontal view not as well evaluated on the lateral view which may represent another site of atelectasiscollapse,,,,,1.0,,,,1.0,,,,,
the cardiac and mediastinal silhouettes are stable  .,,-1.0,,,,,,,,,,,,
frontal and lateral views of the chest were obtained,1.0,,,,,,,,,,,,,
bibasilar opacities are seen which may relate to atelectasis however in the appropriate clinical setting consolidation due to infection or pneumonia is not excluded,,,,,1.0,,-1.0,-1.0,-1.0,,,,,
there is also a new opacity projecting over the lateral left mid lung seen on the frontal view not as well evaluated on the lateral view which may represent another site of atelectasiscollapse,,,,,1.0,,,,1.0,,,,,
the cardiac and mediastinal silhouettes are stable  .,,-1.0,,,,,,,,,,,,
pa and lateral views of the chest are obtained,1.0,,,,,,,,,,,,,
since the prior exam there has been removal of the left and right picc lines,1.0,,,,,,,,,,,,,1.0
linear subsegmental right lower lung atelectasis is noted,,,,,,,,,1.0,,,,,
there is no evidence of pneumonia or chf,1.0,,,,,0.0,,0.0,,,,,,
no pleural effusion or pneumothorax,1.0,,,,,,,,,0.0,0.0,,,
cardiomediastinal silhouette is stable with mild cardiomegaly redemonstrated,,-1.0,1.0,,,,,,,,,,,
degenerative changes at the right shoulder are moderate,,,,,,,,,,,,,,
an l1 compression fracture is stable from a ct from,,,,,,,,,,,,,1.0,
there is increased vertebral body loss of height involving a compression fracture at t11 compared with a prior radiograph,,,,,,,,,,,,,1.0,
this compression though is new compared with the ct dated  .,1.0,,,,,,,,,,,,,
pa and lateral views of the chest are obtained,1.0,,,,,,,,,,,,,
since the prior exam there has been removal of the left and right picc lines,1.0,,,,,,,,,,,,,1.0
linear subsegmental right lower lung atelectasis is noted,,,,,,,,,1.0,,,,,
there is no evidence of pneumonia or chf,1.0,,,,,0.0,,0.0,,,,,,
no pleural effusion or pneumothorax,1.0,,,,,,,,,0.0,0.0,,,
cardiomediastinal silhouette is stable with mild cardiomegaly redemonstrated,,-1.0,1.0,,,,,,,,,,,
degenerative changes at the right shoulder are moderate,,,,,,,,,,,,,,
an l1 compression fracture is stable from a ct from,,,,,,,,,,,,,1.0,
there is increased vertebral body loss of height involving a compression fracture at t11 compared with a prior radiograph,,,,,,,,,,,,,1.0,
this compression though is new compared with the ct dated  .,1.0,,,,,,,,,,,,,
the right-sided picc line has been retracted and now terminates at the level of the mid clavicular line along the expected course of the right subclavian vein,1.0,,,,,,,,,,,,,1.0
the heart is mild-to-moderately enlarged with left ventricular configuration,,,1.0,,,,,,,,,,,
the mediastinal and hilar contours appear unchanged,,1.0,,,,,,,,,,,,
persistent band-like opacities in the left mid lung suggest minor atelectasis or scarring,,,,,1.0,,,,-1.0,,,,,
there is a patchy new nonspecific opacity in the right lower lung although suggestive of minor atelectasis,,,,,1.0,,,,1.0,,,,,
